"FD.metric","measure","quantile.x_y","obs.value.x_y","median.perm.value.x_y","quantile.y_x","obs.value.y_x","median.perm.value.y_x","state.metric","system","res","troph","sig.x_y","sig.y_z"
"FDis","r0.skill",1,0.818934853092484,0.00998622318656526,1,0.791517283096668,0.0098032158322585,"Community","Kinneret","Month","Phytoplankton","*","*"
"FDis","absmax.skill",1,0.856888891708652,0.141697113931574,1,0.808786907429704,0.139329871946582,"Community","Kinneret","Month","Phytoplankton","*","*"
"FDis","t.absmax.skill",0.572,-2,-10,0.57,-2,-13,"Community","Kinneret","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.318977161643733,0.0065132251574466,1,0.267911644526211,0.0360160577215966,"Density","Kinneret","Month","Phytoplankton","*","*"
"FDis","absmax.skill",1,0.3728482227736,0.152315628028124,1,0.365310851616627,0.167528525256963,"Density","Kinneret","Month","Phytoplankton","*","*"
"FDis","t.absmax.skill",0.548,-9,-12,0.736,-6,-28.5,"Density","Kinneret","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.431319065854386,0.00746567330183131,1,0.32850657462612,0.0142959255309161,"FI","Kinneret","Month","Phytoplankton","*","*"
"FDis","absmax.skill",1,0.433094065753175,0.14189734836753,1,0.428581386808864,0.160286233705913,"FI","Kinneret","Month","Phytoplankton","*","*"
"FDis","t.absmax.skill",0.394,-22,-7.5,0.62,-8,-21,"FI","Kinneret","Month","Phytoplankton","",""
"FDis","r0.skill",1,0.650333142223931,0.00725411886086912,1,0.525669069528401,0.313746607383148,"MVI","Kinneret","Month","Phytoplankton","*","*"
"FDis","absmax.skill",1,0.650333142223931,0.126753555053583,1,0.615514218262379,0.472080409453608,"MVI","Kinneret","Month","Phytoplankton","*","*"
"FDis","t.absmax.skill",1,0,-8,0.996,-2,-49,"MVI","Kinneret","Month","Phytoplankton","*","*"
"FDis","r0.skill",1,0.686903913078897,0.00946781486217843,1,0.646374584705521,0.0147778031459255,"Z_P.ratio","Kinneret","Month","Phytoplankton","*","*"
"FDis","absmax.skill",1,0.702630299800782,0.143055937092782,1,0.646374584705521,0.150824280100826,"Z_P.ratio","Kinneret","Month","Phytoplankton","*","*"
"FDis","t.absmax.skill",0.57,-1,-12,1,0,-14.5,"Z_P.ratio","Kinneret","Month","Phytoplankton","","*"
"FEve","r0.skill",1,0.202924341596848,-0.00140595406169136,0.99,0.139609037805522,0.00921020571822165,"Community","Kinneret","Month","Phytoplankton","*","*"
"FEve","absmax.skill",0.932,0.205769825351069,0.0629923933570168,1,0.293990756030195,0.113438047327625,"Community","Kinneret","Month","Phytoplankton","","*"
"FEve","t.absmax.skill",0.32,-17,0,0.488,-3,0,"Community","Kinneret","Month","Phytoplankton","",""
"FEve","r0.skill",0.42,-0.026208639213882,-0.0094787959899625,0.886,0.0859996797601402,0.0110560906528246,"Density","Kinneret","Month","Phytoplankton","",""
"FEve","absmax.skill",0.922,0.224786764358058,0.111558703543743,0.926,0.195862940881134,0.132041845251511,"Density","Kinneret","Month","Phytoplankton","",""
"FEve","t.absmax.skill",0.078,-56,-1.5,0.612,-2,-16,"Density","Kinneret","Month","Phytoplankton","",""
"FEve","r0.skill",1,0.254957221083506,-0.000136526658357503,0.992,0.15079043465012,-0.00463840665128867,"FI","Kinneret","Month","Phytoplankton","*","*"
"FEve","absmax.skill",1,0.299379590920337,0.0743583567040439,0.982,0.212364082330798,0.112220102406427,"FI","Kinneret","Month","Phytoplankton","*","*"
"FEve","t.absmax.skill",0.368,-12,0,0.42,-14,-2,"FI","Kinneret","Month","Phytoplankton","",""
"FEve","r0.skill",0.928,0.107005283206007,-0.0152609901038175,0.992,0.270789849993536,0.154544259324258,"MVI","Kinneret","Month","Phytoplankton","","*"
"FEve","absmax.skill",0.996,0.300072397722334,0.0712515341004161,0.898,0.333826919613787,0.280835009422018,"MVI","Kinneret","Month","Phytoplankton","*",""
"FEve","t.absmax.skill",0.354,-23,0,0.998,-1,-45,"MVI","Kinneret","Month","Phytoplankton","","*"
"FEve","r0.skill",0.828,0.0584546920263238,-0.00689552374566275,0.998,0.16226495953569,0.0016462665558397,"Z_P.ratio","Kinneret","Month","Phytoplankton","","*"
"FEve","absmax.skill",0.74,0.16333172764827,0.0768402377205669,0.992,0.214899681366539,0.103442220526394,"Z_P.ratio","Kinneret","Month","Phytoplankton","","*"
"FEve","t.absmax.skill",0.2,-44,0,0.482,-2,0,"Z_P.ratio","Kinneret","Month","Phytoplankton","",""
"FRic","r0.skill",1,0.346733498604594,0.0352598723810989,1,0.447359966467927,0.034857394652406,"Community","Kinneret","Month","Phytoplankton","*","*"
"FRic","absmax.skill",1,0.418060407643445,0.188625948452436,1,0.447359966467927,0.190869871205961,"Community","Kinneret","Month","Phytoplankton","*","*"
"FRic","t.absmax.skill",0.662,-14,-28,1,0,-24,"Community","Kinneret","Month","Phytoplankton","","*"
"FRic","r0.skill",0.272,-0.0024872067958922,0.046705887879997,0.942,0.207400939312372,0.0606750450211306,"Density","Kinneret","Month","Phytoplankton","",""
"FRic","absmax.skill",0.99,0.395711336534062,0.216906721395627,0.974,0.345542402401634,0.199360145227395,"Density","Kinneret","Month","Phytoplankton","*",""
"FRic","t.absmax.skill",0.198,-52,-31,0.11,-56,-31,"Density","Kinneret","Month","Phytoplankton","",""
"FRic","r0.skill",0.996,0.335466560857831,0.0578453208654282,1,0.353899666166494,0.0629902762348181,"FI","Kinneret","Month","Phytoplankton","*","*"
"FRic","absmax.skill",0.994,0.431394437933837,0.212272581216723,0.954,0.353899666166494,0.222307696591933,"FI","Kinneret","Month","Phytoplankton","*",""
"FRic","t.absmax.skill",0.7,-8,-27,1,0,-24,"FI","Kinneret","Month","Phytoplankton","","*"
"FRic","r0.skill",0.986,0.292706793413023,0.0579067731178784,1,0.701329717376671,0.457497532183182,"MVI","Kinneret","Month","Phytoplankton","*","*"
"FRic","absmax.skill",1,0.60544376658411,0.204521346744441,0.924,0.701329717376671,0.642722583647547,"MVI","Kinneret","Month","Phytoplankton","*",""
"FRic","t.absmax.skill",0.08,-60,-31.5,1,0,-50,"MVI","Kinneret","Month","Phytoplankton","","*"
"FRic","r0.skill",1,0.253482835969566,0.0387990223024501,1,0.361281780281032,0.0358129799651968,"Z_P.ratio","Kinneret","Month","Phytoplankton","*","*"
"FRic","absmax.skill",0.994,0.348730108973949,0.188289322637579,0.994,0.374784753732125,0.184351525327835,"Z_P.ratio","Kinneret","Month","Phytoplankton","*","*"
"FRic","t.absmax.skill",0.234,-50,-30.5,0.676,-1,-17,"Z_P.ratio","Kinneret","Month","Phytoplankton","",""
"FDis","r0.skill",0.588,0.010842839691914,-0.00499505541799711,0.894,0.0735266740850619,0.000167899481218281,"Community","Kinneret","Month","Zooplankton","",""
"FDis","absmax.skill",0.978,0.23988254949764,0.102137031679005,0.91,0.17883900567845,0.112629728203327,"Community","Kinneret","Month","Zooplankton","*",""
"FDis","t.absmax.skill",0.224,-42,0,0.23,-38,0,"Community","Kinneret","Month","Zooplankton","",""
"FDis","r0.skill",0.58,0.010971908087924,-0.000405700888643736,0.992,0.160653745974561,0.0123052851471293,"Density","Kinneret","Month","Zooplankton","","*"
"FDis","absmax.skill",0.86,0.20315670891819,0.12508902727774,1,0.254871438633491,0.140997361462032,"Density","Kinneret","Month","Zooplankton","","*"
